event_year,event_month,topic,speaker,speaker_profile_url,category,learn_points,video_url,upload_date,duration_seconds,transcript_path
,,Digital Apiaries - Noah [@ax0n],,,,,https://www.youtube.com/watch?v=p2DmpLR8eQI,20170918,1352,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/uncategorized/p2DmpLR8eQI.txt
,,"Infiltrate Radio - Noah Dunker, Joel Kershner, Alex Lauerman, Kevin Bennett, Shogo Cottrell",,,,,https://www.youtube.com/watch?v=dpC3TfKgKqw,20140914,3811,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/uncategorized/dpC3TfKgKqw.txt
,,Learning log lifting a la ELK - @jonny5,,,,,https://www.youtube.com/watch?v=--f49AzoD2M,20180518,1281,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/uncategorized/--f49AzoD2M.txt
,,"Out of the Frying Pan (and Into Another Completely Different, but no Less Hot, Frying Pan)",,,,,https://www.youtube.com/watch?v=8OA9UmBOqrE,20170110,1103,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/uncategorized/8OA9UmBOqrE.txt
,,Ra (Community Edition) Version 0.6 - Aaron - @squirrelsnabrrl,,,,,https://www.youtube.com/watch?v=94eZGUNYszk,20170110,976,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/uncategorized/94eZGUNYszk.txt
,,Pickpockets and hilariousness,Gene Turner,,Physical Security,,,,,
,,CryptoChallenge.com!,Kevin Bennet,,Security Architecture,,,,,
,,CryptoChallenge.com!,Patrick Burns,,Security Architecture,,,,,
,,Crypto through the tulips & Audioing,Joel Kershner,,Security Architecture,,,,,
,,Fishing to Phishing: Adventures in chasing slimy creatures,Wayne Crowder,,Threat Intelligence,,https://www.youtube.com/watch?v=iN83ZPs1cT0,20141231,1036,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Threat-Intelligence/iN83ZPs1cT0.txt
,,How to Be Aware of the Latest Hack Before the CEO,Tom Heffron,,Threat Intelligence,,,,,
,,XXE: The XML Backdoor,Matty McFatty,,Application Security,,https://www.youtube.com/watch?v=qR-gy3FAPqk,20150603,965,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Application-Security/qR-gy3FAPqk.txt
,,How SecOps Can Convince DevOps To Believe In The Boogeyman,Leif Dreizler,,Security Operations,,https://www.youtube.com/watch?v=qgJlS9g0Opk,20160516,855,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/qgJlS9g0Opk.txt
,,"Cowabunga Powershell, or How I Became Domain Admin and So Are You",Dusty Evanoff,,Security Operations,,https://www.youtube.com/watch?v=Qkw3caHTAek,20131031,684,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/Qkw3caHTAek.txt
2015,,Everything I Learned From Honey Badger & Activity Mats,Aaron Crawford,,Security Operations,,https://www.youtube.com/watch?v=4S1oUno85Bs,20150918,1450,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/4S1oUno85Bs.txt
2014,,Contain Your Pi,Adam Ossenford,,Security Architecture,,https://www.youtube.com/watch?v=FRHFHqkQikM,20140328,730,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Architecture/FRHFHqkQikM.txt
2015,,Introduction to X86-64 assembly for reverse engineering,Cory Kennedy,,Security Operations,,https://www.youtube.com/watch?v=Fr7xC8_FHgs,20150918,1998,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/Fr7xC8_FHgs.txt
2015,,"I dont trust 300 of my most trusted advisors, Middle finger to fingerprint enabled mobiles  & General Awesomeness",Bill Swearingen,,Governance,,https://www.youtube.com/watch?v=VdjH0iASVSo,20150603,1345,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Governance/VdjH0iASVSo.txt
,,Deploy the CATs,Chris Lamb,,Security Operations,,,,,
,,Audioing,Bryan,,Governance,,,,,
,,Videoing,Alex,,Governance,,,,,
,,Scheduling,Tlo,,Governance,,,,,
,,Suka MC,Jurist,,Governance,,,,,
2019,,News,Shogo,,Governance,,https://www.youtube.com/watch?v=47F7EH71qpk,20190514,685,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Governance/47F7EH71qpk.txt
2015,,The Hackers USB,Tyler Schunk,,Security Operations,,https://www.youtube.com/watch?v=O72bq7i8DII,20150323,1169,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/Security-Operations/O72bq7i8DII.txt
,,,Name of the Speaker(s) to be published with talk,,Governance,,,,,
,,Socksify everything Using tsocks - kcgeek,,,,,https://www.youtube.com/watch?v=_YV4zj13tcg,20140601,391,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/uncategorized/_YV4zj13tcg.txt
,,Wayne Crowder - What’s In A Name?,,,,,https://www.youtube.com/watch?v=q1O8B22zWA0,20160516,693,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/uncategorized/q1O8B22zWA0.txt
,,jur1st - Talk This Way,,,,,https://www.youtube.com/watch?v=W0aBgVo2srM,20160221,2803,https://github.com/hakceracademy/seckc-academy-resources/tree/main/transcripts/uncategorized/W0aBgVo2srM.txt
